,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HTGS,ATGS,HTGC,ATGC,HHGS,AHGS,HHGC,AHGC,HTP,ATP,HM1,AM1,HM2,AM2,HM3,AM3,HM4,AM4,HM5,AM5,MW
71,2024-10-20,Montpellier,Marseille,0.0,5.0,A,0.0,3.0,A,8.0,16.0,21.0,8.0,3.0,7.0,10.0,2.0,4,14,L,D,L,L,W,W,L,W,L,W,8
72,2024-10-25,Stade Rennais,Le Havre,1.0,0.0,H,0.0,0.0,D,12.0,7.0,12.0,19.0,7.0,2.0,5.0,7.0,8,6,D,L,L,L,L,L,D,L,W,L,9
73,2024-10-26,Angers SCO,Saint-Étienne,4.0,2.0,H,2.0,1.0,H,6.0,6.0,14.0,20.0,2.0,2.0,8.0,11.0,4,7,D,L,D,W,L,D,D,L,D,W,9
74,2024-10-26,Stade de Reims,Brest,1.0,2.0,A,1.0,2.0,A,15.0,11.0,12.0,14.0,7.0,6.0,6.0,8.0,14,10,L,D,W,W,W,L,D,W,W,L,9
75,2024-10-26,RC Lens,Lille,0.0,2.0,A,0.0,0.0,D,9.0,13.0,4.0,8.0,6.0,6.0,2.0,6.0,14,14,W,D,D,W,D,W,D,D,D,L,9
76,2024-10-27,Olympique Lyon,Auxerre,2.0,2.0,D,1.0,0.0,H,14.0,11.0,12.0,16.0,4.0,6.0,4.0,6.0,13,9,W,W,W,L,W,W,L,L,D,L,9
77,2024-10-27,Nice,Monaco,2.0,1.0,H,1.0,1.0,D,16.0,14.0,8.0,4.0,10.0,7.0,2.0,3.0,10,20,D,D,D,W,D,W,W,W,L,W,9
78,2024-10-27,Montpellier,Toulouse,0.0,3.0,A,0.0,3.0,A,8.0,7.0,26.0,11.0,3.0,2.0,13.0,5.0,4,6,L,D,L,L,L,L,W,L,L,W,9
79,2024-10-27,Strasbourg,Nantes,3.0,1.0,H,1.0,0.0,H,16.0,10.0,16.0,9.0,7.0,6.0,6.0,4.0,10,10,L,D,D,L,W,D,D,D,D,L,9
80,2024-10-27,Marseille,PSG,0.0,3.0,A,0.0,3.0,A,21.0,25.0,8.0,8.0,10.0,8.0,2.0,3.0,17,20,W,W,D,D,L,W,W,D,W,W,9
81,2024-11-01,Monaco,Angers SCO,0.0,1.0,A,0.0,1.0,A,15.0,10.0,6.0,16.0,8.0,4.0,4.0,9.0,20,7,L,W,D,D,W,D,W,L,W,D,10
82,2024-11-01,Lille,Olympique Lyon,1.0,1.0,D,1.0,0.0,H,15.0,16.0,8.0,14.0,6.0,5.0,6.0,4.0,17,14,W,D,D,W,W,W,W,W,D,L,10
83,2024-11-02,PSG,RC Lens,1.0,0.0,H,1.0,0.0,H,28.0,9.0,8.0,6.0,11.0,6.0,3.0,2.0,23,14,W,L,W,W,D,D,W,D,D,D,10
84,2024-11-02,Brest,Nice,0.0,1.0,A,0.0,1.0,A,13.0,18.0,15.0,9.0,8.0,11.0,9.0,3.0,13,13,W,W,D,D,W,D,L,D,W,W,10
