,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTGS,ATGS,HTGC,ATGC,HHGS,AHGS,HHGC,AHGC,HTP,ATP,HM1,AM1,HM2,AM2,HM3,AM3,HM4,AM4,HM5,AM5,MW
72,2024-09-28,Rayo Vallecano,Leganés,1.0,1.0,D,1.0,0.0,8.0,4.0,7.0,8.0,3.0,1.0,2.0,1.0,9,6,D,D,D,L,W,L,L,L,L,D,8
73,2024-09-28,Real Sociedad,Valencia,3.0,0.0,H,1.0,0.0,3.0,5.0,7.0,10.0,1.0,3.0,2.0,6.0,5,5,D,D,L,W,L,L,D,D,L,L,8
74,2024-09-28,Osasuna,Barça,4.0,2.0,H,2.0,0.0,8.0,23.0,11.0,5.0,4.0,10.0,4.0,4.0,11,21,D,W,W,W,L,W,W,W,L,W,8
75,2024-09-29,Celta,Girona,1.0,1.0,D,0.0,1.0,14.0,8.0,14.0,10.0,8.0,2.0,7.0,4.0,9,8,L,D,L,L,W,L,L,W,L,W,8
76,2024-09-29,Athletic,Sevilla FC,1.0,1.0,D,1.0,0.0,11.0,7.0,7.0,9.0,7.0,4.0,2.0,4.0,13,8,W,W,W,L,W,W,L,L,W,D,8
77,2024-09-29,Real Betis,Espanyol,1.0,0.0,H,0.0,0.0,7.0,7.0,7.0,11.0,3.0,3.0,2.0,4.0,9,7,D,L,L,L,W,W,W,W,L,D,8
78,2024-09-29,Atleti,Real Madrid,1.0,1.0,D,0.0,0.0,11.0,16.0,3.0,5.0,4.0,3.0,3.0,1.0,15,17,W,W,D,W,W,W,W,W,D,D,8
79,2024-09-30,Villarreal,Las Palmas,3.0,1.0,H,1.0,0.0,14.0,8.0,14.0,13.0,8.0,4.0,9.0,6.0,14,3,W,D,L,L,W,L,D,L,W,D,8
80,2024-10-04,Leganés,Valencia,0.0,0.0,D,0.0,0.0,5.0,5.0,9.0,13.0,1.0,3.0,2.0,7.0,7,5,D,L,D,D,L,W,L,L,L,D,9
81,2024-10-05,Espanyol,Mallorca,2.0,1.0,H,1.0,0.0,7.0,8.0,12.0,6.0,3.0,3.0,4.0,3.0,7,14,L,W,L,W,L,W,W,L,W,W,9
82,2024-10-05,Getafe,Osasuna,1.0,1.0,D,1.0,0.0,5.0,12.0,6.0,13.0,1.0,6.0,3.0,4.0,7,14,W,W,L,D,D,W,L,L,L,W,9
83,2024-10-05,Valladolid,Rayo Vallecano,1.0,2.0,A,0.0,0.0,4.0,9.0,17.0,8.0,1.0,4.0,6.0,2.0,5,10,L,D,L,D,D,D,L,W,L,L,9
84,2024-10-05,Las Palmas,Celta,0.0,1.0,A,0.0,1.0,9.0,15.0,16.0,15.0,4.0,8.0,7.0,8.0,3,10,L,D,D,L,L,L,L,W,L,L,9
85,2024-10-05,Real Madrid,Villarreal,2.0,0.0,H,1.0,0.0,17.0,17.0,6.0,15.0,3.0,9.0,1.0,9.0,18,17,D,W,W,W,W,L,W,W,W,D,9
86,2024-10-06,Girona,Athletic,2.0,1.0,H,1.0,1.0,9.0,12.0,11.0,8.0,3.0,8.0,4.0,2.0,9,14,D,D,D,W,L,W,L,W,W,L,9
87,2024-10-06,Alavés,Barça,0.0,3.0,A,0.0,3.0,11.0,25.0,12.0,9.0,5.0,10.0,5.0,6.0,10,21,L,L,L,W,W,W,L,W,W,W,9
88,2024-10-06,Sevilla FC,Real Betis,1.0,0.0,H,0.0,0.0,8.0,8.0,10.0,7.0,4.0,3.0,5.0,2.0,9,12,D,W,W,D,L,L,W,W,L,W,9
89,2024-10-06,Real Sociedad,Atleti,1.0,1.0,D,0.0,1.0,6.0,12.0,7.0,4.0,2.0,4.0,2.0,3.0,8,16,W,D,D,W,L,D,L,W,D,W,9
