,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HTGS,ATGS,HTGC,ATGC,HHGS,AHGS,HHGC,AHGC,HTP,ATP,HM1,AM1,HM2,AM2,HM3,AM3,HM4,AM4,HM5,AM5,MW
73,2024-11-02,Bayern,Union Berlin,3.0,0.0,H,2.0,0.0,H,29.0,9.0,7.0,5.0,13.0,6.0,3.0,1.0,20,15,W,D,W,W,D,W,D,L,W,W,9
74,2024-11-02,Frankfurt,Bochum,7.0,2.0,H,4.0,1.0,H,16.0,7.0,12.0,22.0,9.0,5.0,4.0,7.0,14,1,D,L,L,L,D,L,W,L,W,D,9
75,2024-11-02,Hoffenheim,St. Pauli,0.0,2.0,A,0.0,1.0,A,13.0,5.0,17.0,11.0,8.0,2.0,9.0,4.0,8,5,D,D,W,L,D,L,L,W,L,D,9
76,2024-11-02,Wolfsburg,Augsburg,1.0,1.0,D,0.0,1.0,A,15.0,12.0,16.0,19.0,9.0,5.0,6.0,11.0,8,10,D,W,L,L,W,W,D,L,L,L,9
77,2024-11-02,Holstein Kiel,Heidenheim,1.0,0.0,H,1.0,0.0,H,10.0,12.0,23.0,11.0,3.0,5.0,15.0,4.0,2,10,L,D,L,L,D,L,L,W,D,L,9
78,2024-11-02,Dortmund,RB Leipzig,2.0,1.0,H,1.0,1.0,D,15.0,14.0,14.0,3.0,6.0,5.0,8.0,3.0,13,20,L,W,W,W,L,W,W,W,L,D,9
79,2024-11-03,Freiburg,Mainz,0.0,0.0,D,0.0,0.0,D,13.0,12.0,11.0,13.0,5.0,6.0,5.0,7.0,15,9,L,D,W,L,W,W,L,L,W,W,9
80,2024-11-03,M'gladbach,Bremen,4.0,1.0,H,3.0,0.0,H,11.0,14.0,13.0,16.0,2.0,6.0,6.0,10.0,10,12,D,D,W,W,L,L,W,W,L,L,9
81,2024-11-08,Union Berlin,Freiburg,0.0,0.0,D,0.0,0.0,D,9.0,13.0,8.0,11.0,6.0,5.0,3.0,5.0,15,16,L,D,D,L,W,W,W,W,L,L,10
82,2024-11-09,Bremen,Holstein Kiel,2.0,1.0,H,1.0,0.0,H,15.0,11.0,20.0,23.0,6.0,4.0,13.0,15.0,12,5,L,W,D,L,W,L,L,D,W,L,10
83,2024-11-09,Mainz,Dortmund,3.0,1.0,H,2.0,1.0,H,12.0,17.0,13.0,15.0,6.0,7.0,7.0,9.0,10,16,D,W,D,L,L,W,W,L,L,W,10
84,2024-11-09,Bochum,Leverkusen,1.0,1.0,D,0.0,1.0,A,9.0,20.0,29.0,15.0,6.0,13.0,11.0,8.0,1,16,L,D,L,D,L,W,L,D,L,D,10
85,2024-11-09,St. Pauli,Bayern,0.0,1.0,A,0.0,1.0,A,7.0,32.0,11.0,7.0,3.0,15.0,4.0,3.0,8,23,W,W,D,W,L,W,L,D,W,D,10
86,2024-11-09,RB Leipzig,M'gladbach,0.0,0.0,D,0.0,0.0,D,15.0,15.0,5.0,14.0,6.0,5.0,4.0,6.0,20,13,L,W,W,D,W,W,W,L,W,W,10
